,Input sentence,isComparative,subject,object,aspect,predicate,label
14,"Thực tế khi trải nghiệm iPhone 14 thì cho người dùng cảm giác cầm nắm khá chắc chắn, đầm tay và rất thoải mái.",0,[],[],[],[],[]
15,"Nhìn tổng thể, thì với kích thước như vậy là khá tối ưu, không quá nhỏ cũng không quá to, dù tay bạn lớn hay nhỏ thì cũng có thể cầm nắm được dễ dàng.",0,[],[],[],[],[]
16,"Tương tự, thì hệ thống camera vẫn giữ nguyên thiết kế với 2 camera được đặt chéo nhau và được làm nhô lên so với mặt lưng của máy.",1,"['5&&hệ', '6&&thống', '7&&camera']",[],"['11&&thiết', '12&&kế']","['9&&giữ', '10&&nguyên']",EQL
17,Phần mô-đun chứa cụm camera được làm trong suốt nhằm tăng sự đồng bộ nhưng vẫn nổi bật.,0,[],[],[],[],[]
18,Chính giữa mặt sau là nơi đặt logo quả táo quen thuộc thường thấy.,0,[],[],[],[],[]
19,"So với iPhone 13, thì rất khó để nhận ra sự khác biệt giữa 2 thế hệ này qua vẻ bề ngoài, thậm chí ngay cả những phần mềm bên trong cũng không có quá nhiều sự khác biệt.",1,"['16&&2', '17&&thế', '18&&hệ', '19&&này']","['16&&2', '17&&thế', '18&&hệ', '19&&này']","['21&&vẻ', '22&&bề', '23&&ngoài']","['8&&khó', '9&&để', '10&&nhận', '11&&ra', '12&&sự', '13&&khác', '14&&biệt']",EQL
20,"So với iPhone 13, thì rất khó để nhận ra sự khác biệt giữa 2 thế hệ này qua vẻ bề ngoài, thậm chí ngay cả những phần mềm bên trong cũng không có quá nhiều sự khác biệt.",1,"['16&&2', '17&&thế', '18&&hệ', '19&&này']","['16&&2', '17&&thế', '18&&hệ', '19&&này']","['29&&những', '30&&phần', '31&&mềm', '32&&bên', '33&&trong']","['35&&không', '36&&có', '37&&quá', '38&&nhiều', '39&&sự', '40&&khác', '41&&biệt']",EQL
21,Trừ khi bạn mua 2 màu khác nhau còn nếu không thì sẽ rất khó để nhận ra.,0,[],[],[],[],[]
22,"Ngoài ra, chiếc máy còn được trang bị khả năng chống nước IP68, có nghĩa là thiết bị có khả năng kháng nước ở độ sâu khoảng 1.5m trong vòng 30 phút.",0,[],[],[],[],[]
23,Bạn có thể selfie và sử dụng ở bể bơi mà không hề sợ bị hỏng máy.,0,[],[],[],[],[]
24,"Mặc dù, đây cũng được xem là 1 điểm khá ấn tượng trên iPhone 13, nhưng mình khuyên bạn không nên thử điều này với chiếc máy.",0,[],[],[],[],[]
25,Hiệu năng ấn tượng trên iPhone 14,0,[],[],[],[],[]
26,"iPhone 14 được nhà sản xuất sử dụng chipset A15 Bionic được nhà Táo sản xuất dựa trên tiến trình 5nm, có 6 nhân, trong đó 4 nhân là 1.82 GHz Blizzard Avalanche và 2 nhân là 3.23 GHz. Bên cạnh đó, chiếc máy còn được trang bị Apple GPU (5-core graphics) giúp xử lý hình ảnh và video được tốt hơn.",1,"['47&&chiếc', '48&&máy']",[],"['62&&xử', '63&&lý', '64&&hình', '65&&ảnh', '66&&và', '67&&video']","['69&&tốt', '70&&hơn']",COM+
27,"Mặc dù, không được Apple trang bị chipset mới nhất nhưng A15 Bionic cũng là một bộ vi xử lý mạnh mẽ bật nhất hiện nay.",1,"['13&&A15', '14&&Bionic']",[],[],"['22&&mạnh', '23&&mẽ', '24&&bật', '25&&nhất', '26&&hiện', '27&&nay']",SUP+
28,"Bên cạnh đó, iPhone 14 được nâng cấp bộ nhớ lên đến 6GB RAM cao hơn iPhone 13 đến 2GB RAM, cho khả năng đa nhiệm tốt hơn.",1,"['5&&iPhone', '6&&14']","['18&&iPhone', '19&&13']","['10&&bộ', '11&&nhớ']","['16&&cao', '17&&hơn']",COM+
29,"Bên cạnh đó, iPhone 14 được nâng cấp bộ nhớ lên đến 6GB RAM cao hơn iPhone 13 đến 2GB RAM, cho khả năng đa nhiệm tốt hơn.",1,"['5&&iPhone', '6&&14']","['18&&iPhone', '19&&13']","['25&&khả', '26&&năng', '27&&đa', '28&&nhiệm']","['29&&tốt', '30&&hơn']",COM+
30,Thực sự thì đa nhiệm trên dòng iPhone được rất nhiều người đánh giá là tốt hơn so với dòng Smartphone khác trên thị trường.,1,['8&&iPhone'],"['20&&dòng', '21&&Smartphone', '22&&khác', '23&&trên', '24&&thị', '25&&trường']","['4&&đa', '5&&nhiệm']","['16&&tốt', '17&&hơn']",COM+
31,Bạn có thể mở nhiều tác vụ cùng lúc và chuyển qua lại giữa chúng mà không cần phải tải lại.,0,[],[],[],[],[]
32,Khi nhìn vào thông số thì bạn sẽ khó nhận biết được sức mạnh của chiếc máy.,0,[],[],[],[],[]
33,"Chính vì vậy, nếu bạn muốn dễ dàng nhận biết về hiệu năng của iPhone 14 thì hãy kiểm tra qua phần mềm benchmark quen thuộc.",0,[],[],[],[],[]
34,alt:,0,[],[],[],[],[]
35,des:,0,[],[],[],[],[]
36,2.1. Kiểm tra hiệu năng iPhone 14 thông qua phần mềm benchmark,0,[],[],[],[],[]
37,Như thường lệ thì phần kiểm tra đầu tiên là phần Antutu benchmark.,0,[],[],[],[],[]
38,"Với phần mềm này, thì iPhone 14 đạt điểm cũng khá cao lên đến 830.779 điểm.",0,[],[],[],[],[]
39,"Trong đó, thì điểm CPU đạt 212.289 điểm, MEM đạt 134.956 điểm, GPU đạt 355.190 điểm và đạt 128.344 điểm UX.",0,[],[],[],[],[]
40,Nếu so sánh với một số chipset khác như Dimensity 9000 hay Snapdragon 8 Gen 1 thì có hơi thấp một chút.,1,[],"['10&&Dimensity', '11&&9000']",[],"['19&&hơi', '20&&thấp', '21&&một', '22&&chút']",COM-
41,Nếu so sánh với một số chipset khác như Dimensity 9000 hay Snapdragon 8 Gen 1 thì có hơi thấp một chút.,1,[],"['13&&Snapdragon', '14&&8', '15&&Gen', '16&&1']",[],"['19&&hơi', '20&&thấp', '21&&một', '22&&chút']",COM-
42,"Tuy nhiên, đó chỉ là điểm số còn thực tế thì bạn hãy tự mình trải nghiệm và đánh giá iPhone 14 rõ hơn.",0,[],[],[],[],[]
43,"Tiếp theo chính là phần mềm Geekbench 5, đây là phần mềm thường dùng để đo hiệu suất hoạt động đa nhân và đơn nhân của CPU.",0,[],[],[],[],[]
44,Với bài kiểm tra này thì iPhone 14 đạt được 4.668 điểm đa nhân và 1.685 điểm đơn nhân.,0,[],[],[],[],[]
45,Số điểm này cao hơn rất nhiều so với Snapdragon 8 Gen 1 (3.578 điểm đa nhân và 1.238 điểm đơn nhân) và Dimensity 9000 (4.207 điểm đa nhân và 1.264 điểm đơn nhân).,1,[],"['10&&Snapdragon', '11&&8', '12&&Gen', '13&&1']","['1&&Số', '2&&điểm']","['4&&cao', '5&&hơn', '6&&rất', '7&&nhiều']",COM+
46,Số điểm này cao hơn rất nhiều so với Snapdragon 8 Gen 1 (3.578 điểm đa nhân và 1.238 điểm đơn nhân) và Dimensity 9000 (4.207 điểm đa nhân và 1.264 điểm đơn nhân).,1,[],"['26&&Dimensity', '27&&9000']","['1&&Số', '2&&điểm']","['4&&cao', '5&&hơn', '6&&rất', '7&&nhiều']",COM+
47,alt:,0,[],[],[],[],[]
48,des:,0,[],[],[],[],[]
49,2.2. Hiệu năng qua nhiều tựa game thực tế,0,[],[],[],[],[]
50,"Đầu tiên, với tựa game đình đám hiện nay là Liên Quân Mobile, với đồ họa đẹp mắt, lối chơi đa dạng và đặc biệt là không cần hiệu năng phải quá mạnh, nên đây là tựa game có số lượng người chơi đông đảo nhất hiện nay.",0,[],[],[],[],[]
51,Đối với tựa game này thì không cần kiểm tra mình cũng biết iPhone 14 có thể dễ dàng cân được với mức đồ họa cao.,0,[],[],[],[],[]
52,"Thực tế trải nghiệm cho thấy rằng, chiếc máy đáp ứng được một cách dễ dàng với đồ họa siêu đẹp, màu sắc sống động, chi tiết tốt và tốc độ khung hình được duy trì ở mức 60FPS – 61FPS, không có hiện tượng giật lag.",0,[],[],[],[],[]
53,"Tựa game trải nghiệm tiếp theo chính là PUGB, đây là một tựa game bắn súng sinh tồn được rất nhiều người yêu thích.",0,[],[],[],[],[]
54,"Với tựa game này thì iPhone 14 có thể cân được ở mức thiết lập “tốc độ khung hình - cực độ” và “đồ họa - HDR”, thực tế thì bạn có thể chơi ở mức “đồ họa – ultra HD”.",0,[],[],[],[],[]
55,alt:,0,[],[],[],[],[]
56,des:,0,[],[],[],[],[]
57,Camera ấn tượng trên iPhone 14,0,[],[],[],[],[]
58,alt:,0,[],[],[],[],[]
59,des:,0,[],[],[],[],[]
60,"Khi chụp ảnh trong điều kiện đủ ánh sáng thì iPhone 14 cho hình ảnh chân thực, màu sắc sống động, chi tiết, độ tương phản cao và độ nhiễu hạt cực kỳ thấp.",0,[],[],[],[],[]
61,"Tuy nhiên, vì màu sắc quá chân thực nên nhìn không được nịnh mắt cho lắm, nhưng bù lại thì độ chi tiết cao, chỉ cần qua một ít chỉnh sửa là bạn đã có ngay một bức ảnh đẹp.",0,[],[],[],[],[]
62,"Tương tự, thì ống kính góc rộng không có quá nhiều sự khác biệt so với ống kính chính.",1,"['5&&ống', '6&&kính', '7&&góc', '8&&rộng']","['18&&ống', '19&&kính', '20&&chính']",[],"['9&&không', '10&&có', '11&&quá', '12&&nhiều', '13&&sự', '14&&khác', '15&&biệt']",EQL
63,"Ảnh vẫn cho độ chi tiết cao, khả năng xử lý HDR tốt và màu sắc chân thực, sống động.",0,[],[],[],[],[]
64,"Trong điều kiện thiếu sáng thì iPhone 14 vẫn cho màu sắc khá tốt, độ chi tiết cao và khả năng cân bằng ánh sáng tốt.",0,[],[],[],[],[]
65,"Nhìn chung, thì camera của iPhone đã được chứng minh và luôn có chỗ đứng vững chắc trong lòng khách hàng, chỉ có hơn chứ không kém.",0,[],[],[],[],[]
66,alt:,0,[],[],[],[],[]
67,des:,0,[],[],[],[],[]
68,Pin khủng dùng cả ngày,0,[],[],[],[],[]
69,"iPhone 14 được nhà sản xuất trang bị viên pin Li-Ion 3279 mAh, nếu so với đối thủ thì đây chỉ được xem là dung lượng khá khiêm tốn.",1,"['1&&iPhone', '2&&14']","['18&&đối', '19&&thủ']","['9&&viên', '10&&pin']","['26&&dung', '27&&lượng', '28&&khá', '29&&khiêm', '30&&tốn']",COM-
70,"Tuy nhiên, đừng vội vàng đánh giá, mặc dù chỉ có 3279 mAh nhưng iPhone 14 vẫn có thể đáp ứng cả một ngày dài làm việc mà không sợ hết dung lượng.",0,[],[],[],[],[]
71,Mình đã có một bài test với nhiều tác vụ trong vòng 60 phút để xem thử iPhone 14 mất bao nhiêu phần trăm pin.,0,[],[],[],[],[]
72,"Điều kiện test là âm lượng, độ sáng ở mức 50% và chỉ sử dụng Wifi, không bật định vị hay Bluetooth.",0,[],[],[],[],[]
73,"Cuối cùng, thì thu được như sau: Liên Quân Mobile tốn 13%, Facebook 6%, Youtube 8% và Tiktok 8%.",0,[],[],[],[],[]
74,"Nhìn chung, thì các tác vụ nhẹ nhàng không tốn quá nhiều dung lượng pin như lướt web, check mail, nghe gọi… Thì iPhone 14 dư sức đáp ứng nhu cầu làm việc suốt ngày dài.",0,[],[],[],[],[]
75,Còn nếu bạn liên tục “try-hard” với các tựa game nặng thì iPhone 14 sẽ không đáp ứng nổi.,0,[],[],[],[],[]
76,alt:,0,[],[],[],[],[]
77,des:,0,[],[],[],[],[]
78,"Tóm lại, thì iPhone 14 sở hữu những tính năng cao cấp mà người dùng mong muốn nhất như: Hiệu năng mạnh mẽ, thiết kế đẹp, camera chất lượng và pin khủng.",0,[],[],[],[],[]
79,"Nếu bạn muốn sở hữu chiếc Smartphone siêu khủng này thì hãy liên hệ cửa hàng Mobileworld, sẽ có rất nhiều ưu đãi và quà tặng hấp dẫn dành cho bạn đấy!",0,[],[],[],[],[]
80,"Title: Chụp đêm với iPhone 14 Pro Max: Màu sắc chính xác, chất lượng xuất sắc, đẹp ""ngất ngây"" nhưng chỉ với camera chính",0,[],[],[],[],[]
81,"Trong bài viết trước mình đã có những chia sẻ và đánh giá nhanh về chất lượng camera của iPhone 14 Pro Max trong chuyến du lịch Tây Bắc, trong bài viết này mình tiếp tục đánh giá chi tiết hơn về chất lượng chụp ảnh ban đêm trên mẫu iPhone cao cấp này.",0,[],[],[],[],[]
82,"Một trong những nâng cấp đáng chú ý nhất trên chiếc iPhone 14 Pro Max chính là camera chính được nâng cấp lên độ phân giải 48MP và kích thước cảm biến 1/1.28"".",0,[],[],[],[],[]
83,"Kết hợp khẩu độ lớn f/1.8, công nghệ chống rung cảm biến sensor-shift OIS và thuật toán thông minh của Apple, sản phẩm hứa hẹn cho chất lượng ảnh chụp xuất sắc trong mọi điều kiện.",0,[],[],[],[],[]
84,alt:,0,[],[],[],[],[]
85,des:,0,[],[],[],[],[]
86,"Tuy nhiên camera siêu rộng và camera tele hầu như không nhận được nâng cấp nào về phần cứng, chính vì vậy trong điều kiện thiếu sáng bộ đôi camera này lộ rõ nhiều nhược điểm.",1,[],[],"['3&&camera', '4&&siêu', '5&&rộng']","['9&&hầu', '10&&như', '11&&không', '12&&nhận', '13&&được', '14&&nâng', '15&&cấp', '16&&nào', '17&&về', '18&&phần', '19&&cứng']",EQL
87,"Tuy nhiên camera siêu rộng và camera tele hầu như không nhận được nâng cấp nào về phần cứng, chính vì vậy trong điều kiện thiếu sáng bộ đôi camera này lộ rõ nhiều nhược điểm.",1,[],[],"['7&&camera', '8&&tele']","['9&&hầu', '10&&như', '11&&không', '12&&nhận', '13&&được', '14&&nâng', '15&&cấp', '16&&nào', '17&&về', '18&&phần', '19&&cứng']",EQL
88,Chi tiết hơn mời các bạn theo dõi bài viết dưới đây.,0,[],[],[],[],[]
89,Thông số camera iPhone 14 Pro Max,0,[],[],[],[],[]
90,Đầu tiên chúng ta hãy cùng điểm qua thông số camera của iPhone 14 Pro Max:,0,[],[],[],[],[]
91,"Camera góc rộng (camera chính): 48 MP, f/1.8, 24mm, 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS",0,[],[],[],[],[]
92,"Camera tele: 12 MP, f/2.8, 77mm, 1/3.5"", PDAF, OIS, 3x optical zoom",0,[],[],[],[],[]
93,"Camera siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1/2.55"", 1.4µm, dual pixel PDAF",0,[],[],[],[],[]
94,Cảm biến: TOF 3D LiDAR scanner,0,[],[],[],[],[]
95,Từ thông số trên có thể thấy kích thước cảm biến của camera góc rộng hoàn toàn vượt trội so với hai camera còn lại.,1,"['13&&camera', '14&&góc', '15&&rộng']","['22&&hai', '23&&camera', '24&&còn', '25&&lại']","['8&&kích', '9&&thước', '10&&cảm', '11&&biến']","['16&&hoàn', '17&&toàn', '18&&vượt', '19&&trội']",COM+
96,"Camera tele có kích thước cảm biến nhỏ nhất, từ đó có thể dự đoán được chất lượng ảnh chụp camera tele của iPhone 14 Pro Max.",1,"['1&&Camera', '2&&tele']",[],"['4&&kích', '5&&thước', '6&&cảm', '7&&biến']","['8&&nhỏ', '9&&nhất']",SUP-
97,alt:,0,[],[],[],[],[]
98,des:,0,[],[],[],[],[]
99,Trải nghiệm sử dụng,0,[],[],[],[],[]
100,Trên iPhone không có một chế độ chụp đêm riêng mà thay vào đó mọi thứ sẽ hoàn toàn tự động.,0,[],[],[],[],[]
101,"Khi gặp điều kiện thiếu sáng chế độ chụp thêm sẽ ngay lập tức được kích hoạt, nếu người dùng không thích có thể tắt đi.",0,[],[],[],[],[]
102,"Về cơ bản thì người dùng sẽ không cần phải quan tâm đến việc khi nào nên sử dụng chế độ chụp đêm, chỉ cần mở ứng dụng camera lên, mọi thứ thiết bị sẽ tự tính toán.",0,[],[],[],[],[]
103,alt:,0,[],[],[],[],[]
104,des:,0,[],[],[],[],[]
105,Chính vì vậy về mặt trải nghiệm mình đánh giá cao chế độ chụp đêm trên iPhone nói chung và iPhone 14 Pro Max nói riêng.,0,[],[],[],[],[]
106,"Trên thực tế nhiều mẫu điện thoại Android cũng tự động kích hoạt chế độ chụp đêm khi thiếu sáng nhưng lại có thêm một mode chụp đêm riêng, mặc dù nó mang đến một vào lợi ích nhưng trên thực tế lại làm người dùng bối rối mỗi khi sử dụng.",0,[],[],[],[],[]
107,Chất lượng ảnh chụp thiếu sáng của iPhone 14 Pro Max,0,[],[],[],[],[]
108,Dưới đây là một số ảnh chụp thiếu sáng từ camera trên iPhone 14 Pro Max.,0,[],[],[],[],[]
109,"Tất cả ảnh đều chưa qua chỉnh sửa, chỉ được resize để phù hợp với website.",0,[],[],[],[],[]
110,alt:,0,[],[],[],[],[]
111,"des: Lúc này khoảng 4 giờ sáng, trời tối, nhiều sương nhưng camera chính của iPhone 14 Pro Max vẫn cho ảnh sắc nét, ít noise và đặc biệt là màu sắc được tái tạo chính xác tuyệt vời.",0,[],[],[],[],[]
112,alt:,0,[],[],[],[],[]
113,"des: Tiếp tục là một tấm chụp bằng camera chính, chất lượng vẫn cực kỳ tuyệt vời.",0,[],[],[],[],[]
114,alt:,0,[],[],[],[],[]
115,"des: Tuy nhiên khi chuyển sang camera siêu rộng mọi thứ khá tệ, ảnh tối, noise nặng và hầu như không thể sử dụng được.",0,[],[],[],[],[]
116,alt:,0,[],[],[],[],[]
117,"des: Thử chụp chân dung thiếu sáng, lúc này khoảng 6 giờ chiều, trời không quá tối, mọi thứ vẫn được thể hiện tốt, màu sắc chính xác, xóa phông tự nhiên.",0,[],[],[],[],[]
118,alt:,0,[],[],[],[],[]
119,"des: Tiếp tục là một bức ảnh chụp từ camera siêu rộng trong động Pu Sam Cáp tại Lai Châu, trong động khá tối và kết quả là phần lớn ảnh sẽ mờ nhòe nếu không có chân máy.",0,[],[],[],[],[]
120,alt:,0,[],[],[],[],[]
121,des: Camera tele khá hơn nhờ có OIS tuy nhiên ảnh vẫn không thực sự sắc nét.,1,"['3&&Camera', '4&&tele']",[],[],"['5&&khá', '6&&hơn']",COM+
122,Một vài ảnh khác chụp trong hang động:,0,[],[],[],[],[]
123,alt:,0,[],[],[],[],[]
124,des:,0,[],[],[],[],[]
125,alt:,0,[],[],[],[],[]
126,des:,0,[],[],[],[],[]
127,alt:,0,[],[],[],[],[]
128,des:,0,[],[],[],[],[]
129,alt:,0,[],[],[],[],[]
130,des:,0,[],[],[],[],[]
131,alt:,0,[],[],[],[],[]
132,des:,0,[],[],[],[],[]
133,alt:,0,[],[],[],[],[]
134,"des: Một bức ảnh chụp khi mặt trời vừa khuất núi với camera siêu rộng, noise xuất hiện khá nhiều.",0,[],[],[],[],[]
135,alt:,0,[],[],[],[],[]
136,"des: Tuy nhiên camera chính lại thể hiện xuất sắc, dù rất tối nhưng màu sắc được tái tạo chính xác, ít noise.",0,[],[],[],[],[]
137,alt:,0,[],[],[],[],[]
138,des:,0,[],[],[],[],[]
139,alt:,0,[],[],[],[],[]
140,"des: Hai bức ảnh trên chụp lúc hơn 7 giờ tối, bằng mắt thường không thể nhìn thấy bất kỳ thứ gì bên kia sườn núi nhưng camera chính của iPhone 14 Pro Max vẫn thu nhận được khá nhiều chi tiết.",0,[],[],[],[],[]
141,alt:,0,[],[],[],[],[]
142,"des: Tuy nhiên khi chuyển sang camera tele thì không còn chụp được bất kỳ chi tiết nào bên kia sườn núi, ảnh cũng nhiều noise hơn.",0,[],[],[],[],[]
143,alt:,0,[],[],[],[],[]
144,"des: Chụp thử chủ thể chuyển động (bị gió thổi liên tục), camera chính của iPhone 14 Pro Max cũng không thể làm cho các chi tiết sắc nét nhưng nhìn chung mình vẫn đánh giá cao về chất lượng màu sắc trong trường hợp này.",0,[],[],[],[],[]
145,alt:,0,[],[],[],[],[]
146,"des: Đây là bức ảnh mình ấn tượng nhất, bằng mắt thường chỉ thấy một mặt nước tối đen nhưng camera chính của máy thậm chí chụp được cả những con cá đang bơi ở phía góc xa bên phải, nơi cực kỳ tối.",0,[],[],[],[],[]
147,alt:,0,[],[],[],[],[]
148,"des: Còn đây là bức ảnh cho thấy khả năng tái tạo màu sắc tốt đến như thế nào, mặc dù bị ám khá nhiều ánh đèn màu xung quanh nhưng các chi tiết vẫn được thể hiện tốt, màu sức các vật dụng để trên bàn có màu sắc chính xác tuyệt vời.",0,[],[],[],[],[]
149,Kết luận,0,[],[],[],[],[]
150,"Nếu chỉ xét riêng camera góc rộng (camera chính), iPhone 14 Pro Max xứng đáng là một trong những chiếc điện thoại chụp thiếu sáng tuyệt vời nhất trên thị trường.",1,"['13&&iPhone', '14&&14', '15&&Pro', '16&&Max']",[],"['26&&chụp', '27&&thiếu', '28&&sáng']","['29&&tuyệt', '30&&vời', '31&&nhất', '32&&trên', '33&&thị', '34&&trường']",SUP+
151,Thiết bị không chỉ chụp được các bức ảnh rõ nét trong điều kiện cực kỳ thiếu sáng mà còn cho màu sắc độ chính xác cao.,0,[],[],[],[],[]
152,Riêng về khả năng tái tạo màu sắc chính xác và ổn định trong hầu hết mọi điều kiện thì thực sự hiếm có chiếc điện thoại nào trên thị trường có thể làm được.,1,[],"['25&&chiếc', '26&&điện', '27&&thoại', '28&&nào', '29&&trên', '30&&thị', '31&&trường']","['3&&khả', '4&&năng', '5&&tái', '6&&tạo', '7&&màu', '8&&sắc', '9&&chính', '10&&xác', '11&&và', '12&&ổn', '13&&định', '14&&trong', '15&&hầu', '16&&hết', '17&&mọi', '18&&điều', '19&&kiện']","['23&&hiếm', '24&&có', '25&&chiếc', '26&&điện', '27&&thoại', '28&&nào', '29&&trên', '30&&thị', '31&&trường', '32&&có', '33&&thể', '34&&làm', '35&&được']",DIF
153,"Tuy nhiên vì giới hạn vật lý, camera góc siêu rộng và camera tele vẫn chỉ phù hợp trong các điều kiện đủ sáng hoặc thiếu sáng vừa phải.",0,[],[],[],[],[]
154,title: “Đập hộp” Galaxy S20 Ultra: choáng ngợp với những tính năng khủng,0,[],[],[],[],[]
155,Galaxy S20 Ultra đã chính thức được Samsung giới thiệu với nhiều tính năng lần đầu xuất hiện trên dòng Galaxy S. Hãy cùng Hoàng Hà Mobile mở hộp Galaxy S20 Ultra mới để khám phá những tính năng đỉnh cao của Samsung nha.,0,[],[],[],[],[]
156,Mở hộp Galaxy S20 Ultra,0,[],[],[],[],[]
157,"Hộp của máy có thiết kế đơn giản, sang trọng với tông màu đen chủ đạo.",0,[],[],[],[],[]
158,Nổi bật trên nắp hộp là dòng chữ S20 Ultra màu trắng và logo S20 màu xám ngay chính giữa.,0,[],[],[],[],[]
159,Hộp đựng Galaxy S20 Ultra cũng có kích thước lớn nhất trong Galaxy S20 Series vừa ra mắt.,1,"['1&&Hộp', '2&&đựng', '3&&Galaxy', '4&&S20', '5&&Ultra']",[],"['8&&kích', '9&&thước']","['10&&lớn', '11&&nhất', '12&&trong', '13&&Galaxy', '14&&S20', '15&&Series', '16&&vừa', '17&&ra', '18&&mắt']",SUP
160,alt: anh 1,0,[],[],[],[],[]
161,des:,0,[],[],[],[],[]
162,"Bên trong hộp chúng ta sẽ có củ sạc 25W, cáp sạc C-to-C, tai nghe AKG kết nối qua cổng type-C và que chọc sim.",0,[],[],[],[],[]
163,Samsung cũng hào phóng tặng cho người dùng một chiếc ốp lưng trong suốt để bảo vệ máy.,0,[],[],[],[],[]
164,Galaxy S20 Ultra được khoác lên mình bộ viền rất chắc chắn bằng thép không gỉ.,0,[],[],[],[],[]
165,Đây cũng là lần đầu tiên Samsung đưa bộ viền này lên sản phẩm của mình.,0,[],[],[],[],[]
166,"Nhờ đó, khả năng chống chịu va đập của máy được nâng cao hơn.",1,['11&&máy'],[],"['4&&khả', '5&&năng', '6&&chống', '7&&chịu', '8&&va', '9&&đập']","['13&&nâng', '14&&cao', '15&&hơn']",COM+
167,Đồng thời viền thép cũng giúp máy đầm tay hơn khi sử dụng.,1,['7&&máy'],[],[],"['8&&đầm', '9&&tay', '10&&hơn']",COM+
168,alt: anh 3,0,[],[],[],[],[]
169,des:,0,[],[],[],[],[]
170,"Bên cạnh trái máy sẽ hoàn toàn trống trơn, bên cạnh phải sẽ là nơi đặt toàn bộ phím bấm của máy gồm nút nguồn và âm lượng, cạnh trên là nơi để khay sim và cạnh dưới là cổng sạc USB type-C cùng micro và loa.",0,[],[],[],[],[]
171,Một vẻ ngoài sáng bóng toát lên nhờ vào viền thép càng làm chiếc trở nên nổi bật khi đưa dưới ánh sáng.,0,[],[],[],[],[]
172,alt: anh 4,0,[],[],[],[],[]
173,des:,0,[],[],[],[],[]
174,Mặt lưng của Galaxy S20 Ultra được bao phủ bởi kính cường lực cùng một cụm camera khá lớn tạo điểm nhấn.,0,[],[],[],[],[]
175,Bản mình cầm có mặt lưng màu xám nhìn khá nam tính.,0,[],[],[],[],[]
176,Thêm một chút nữa là cụm camera hơi to thì mình nghĩ rằng S20 Ultra sẽ phù hợp với những bạn nam hơn.,0,[],[],[],[],[]
177,Nhưng nếu bạn nữ là người cá tính và mạnh mẽ thì sở hữu chiếc máy này cũng là một sự lựa không hề tồi đâu nhé.,0,[],[],[],[],[]
178,alt: anh 5,0,[],[],[],[],[]
179,des:,0,[],[],[],[],[]
180,"Galaxy S20 Ultra được trang bị màn hình 6,9 inch Infinity-O với công nghệ Dynamic AMOLED, độ phân giải tối đa 2K+.",0,[],[],[],[],[]
