,content,comparative,subject,object,aspect,predicate,label,NER
15,"Nhìn tổng thể , thì với kích thước như vậy là khá tối ưu , không quá nhỏ cũng không quá to , dù tay bạn lớn hay nhỏ thì cũng có thể cầm nắm được dễ dàng .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"Tương tự , thì hệ thống camera vẫn giữ nguyên thiết kế với 2 camera được đặt chéo nhau và được làm nhô lên so với mặt lưng của máy .",1,['hệ_thống_camera'],[''],['thiết_kế'],['giữ_nguyên'],[2],"[0, 0, 0, 0, 1, 1, 1, 0, 4, 4, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,Phần mô-đun chứa cụm camera được làm trong suốt nhằm tăng sự đồng bộ nhưng vẫn nổi bật .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Chính giữa mặt sau là nơi đặt logo quả táo quen thuộc thường thấy .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,"So với iPhone 13 , thì rất khó để nhận ra sự khác biệt giữa 2 thế hệ này qua vẻ bề ngoài , thậm chí ngay cả những phần mềm bên trong cũng không có quá nhiều sự khác biệt .",1,"['2_thế_hệ_này', '2_thế_hệ_này']","['2_thế_hệ_này', '2_thế_hệ_này']","['vẻ_bề_ngoài', 'những_phần_mềm_bên_trong']","['khó_để_nhận_ra_sự_khác_biệt', 'không_có_quá_nhiều_sự_khác_biệt']","[2, 2]","[0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 0, 2, 2, 2, 2, 0, 3, 3, 3, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 0, 4, 4, 4, 4, 4, 4, 4, 0]"
20,Trừ khi bạn mua 2 màu khác nhau còn nếu không thì sẽ rất khó để nhận ra .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"Ngoài ra , chiếc máy còn được trang bị khả năng chống nước IP68 , có nghĩa là thiết bị có khả năng kháng nước ở độ sâu khoảng 1.5m trong vòng 30 phút .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,Bạn có thể selfie và sử dụng ở bể bơi mà không hề sợ bị hỏng máy .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"Mặc dù , đây cũng được xem là 1 điểm khá ấn tượng trên iPhone 13 , nhưng mình khuyên bạn không nên thử điều này với chiếc máy .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,2 .,0,[],[],[],[],[],"[0, 0]"
25,Hiệu năng ấn tượng trên iPhone 14,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0]"
26,"iPhone 14 được nhà sản xuất sử dụng chipset A15 Bionic được nhà Táo sản xuất dựa trên tiến trình 5nm , có 6 nhân , trong đó 4 nhân là 1.82 GHz Blizzard Avalanche và 2 nhân là 3.23 GHz . Bên cạnh đó , chiếc máy còn được trang bị Apple GPU ( 5 - core graphics ) giúp xử lý hình ảnh và video được tốt hơn .",1,['chiếc_máy'],[''],['xử_lý_hình_ảnh_và_video'],['tốt_hơn'],[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 0, 4, 4, 0]"
27,"Mặc dù , không được Apple trang bị chipset mới nhất nhưng A15 Bionic cũng là một bộ vi xử lý mạnh mẽ bật nhất hiện nay .",1,['A15_Bionic'],[''],[''],['mạnh_mẽ_bật_nhất_hiện_nay'],[3],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4, 0]"
28,"Bên cạnh đó , iPhone 14 được nâng cấp bộ nhớ lên đến 6GB RAM cao hơn iPhone 13 đến 2GB RAM , cho khả năng đa nhiệm tốt hơn .",1,"['iPhone_14', 'iPhone_14']","['iPhone_13', 'iPhone_13']","['bộ_nhớ', 'khả_năng_đa_nhiệm']","['cao_hơn', 'tốt_hơn']","[6, 6]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 3, 0, 0, 0, 0, 4, 4, 2, 2, 0, 0, 0, 0, 0, 3, 3, 3, 3, 4, 4, 0]"
29,Thực sự thì đa nhiệm trên dòng iPhone được rất nhiều người đánh giá là tốt hơn so với dòng Smartphone khác trên thị trường .,1,['iPhone'],['dòng_Smartphone_khác_trên_thị_trường'],['đa_nhiệm'],['tốt_hơn'],[6],"[0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 2, 2, 2, 2, 2, 2, 0]"
30,Bạn có thể mở nhiều tác vụ cùng lúc và chuyển qua lại giữa chúng mà không cần phải tải lại .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,Khi nhìn vào thông số thì bạn sẽ khó nhận biết được sức mạnh của chiếc máy .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,"Chính vì vậy , nếu bạn muốn dễ dàng nhận biết về hiệu năng của iPhone 14 thì hãy kiểm tra qua phần mềm benchmark quen thuộc .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,alt :,0,[],[],[],[],[],"[0, 0]"
34,des :,0,[],[],[],[],[],"[0, 0]"
35,2.1 . Kiểm tra hiệu năng iPhone 14 thông qua phần mềm benchmark,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,Như thường lệ thì phần kiểm tra đầu tiên là phần Antutu benchmark .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"Với phần mềm này , thì iPhone 14 đạt điểm cũng khá cao lên đến 830.779 điểm .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,"Trong đó , thì điểm CPU đạt 212.289 điểm , MEM đạt 134.956 điểm , GPU đạt 355.190 điểm và đạt 128.344 điểm UX .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,Nếu so sánh với một số chipset khác như Dimensity 9000 hay Snapdragon 8 Gen 1 thì có hơi thấp một chút .,1,"['', '']","['Dimensity_9000', 'Snapdragon_8_Gen_1']","['', '']","['hơi_thấp_một_chút', 'hơi_thấp_một_chút']","[7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 0, 0, 4, 4, 4, 4, 0]"
40,"Tuy nhiên , đó chỉ là điểm số còn thực tế thì bạn hãy tự mình trải nghiệm và đánh giá iPhone 14 rõ hơn .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,"Tiếp theo chính là phần mềm Geekbench 5 , đây là phần mềm thường dùng để đo hiệu suất hoạt động đa nhân và đơn nhân của CPU .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,Với bài kiểm tra này thì iPhone 14 đạt được 4.668 điểm đa nhân và 1.685 điểm đơn nhân .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,Số điểm này cao hơn rất nhiều so với Snapdragon 8 Gen 1 ( 3.578 điểm đa nhân và 1.238 điểm đơn nhân ) và Dimensity 9000 ( 4.207 điểm đa nhân và 1.264 điểm đơn nhân ) .,1,"['', '']","['Snapdragon_8_Gen_1', 'Dimensity_9000']","['Số_điểm', 'Số_điểm']","['cao_hơn_rất_nhiều', 'cao_hơn_rất_nhiều']","[6, 6]","[3, 3, 0, 4, 4, 4, 4, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,alt :,0,[],[],[],[],[],"[0, 0]"
45,des :,0,[],[],[],[],[],"[0, 0]"
46,2.2 . Hiệu năng qua nhiều tựa game thực tế,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,"Đầu tiên , với tựa game đình đám hiện nay là Liên Quân Mobile , với đồ họa đẹp mắt , lối chơi đa dạng và đặc biệt là không cần hiệu năng phải quá mạnh , nên đây là tựa game có số lượng người chơi đông đảo nhất hiện nay .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,Đối với tựa game này thì không cần kiểm tra mình cũng biết iPhone 14 có thể dễ dàng cân được với mức đồ họa cao .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"Thực tế trải nghiệm cho thấy rằng , chiếc máy đáp ứng được một cách dễ dàng với đồ họa siêu đẹp , màu sắc sống động , chi tiết tốt và tốc độ khung hình được duy trì ở mức 60FPS – 61FPS , không có hiện tượng giật lag .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,"Tựa game trải nghiệm tiếp theo chính là PUGB , đây là một tựa game bắn súng sinh tồn được rất nhiều người yêu thích .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,"Với tựa game này thì iPhone 14 có thể cân được ở mức thiết lập “ tốc độ khung hình - cực độ ” và “ đồ họa - HDR ” , thực tế thì bạn có thể chơi ở mức “ đồ họa – ultra HD ” .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,alt :,0,[],[],[],[],[],"[0, 0]"
53,des :,0,[],[],[],[],[],"[0, 0]"
54,3 .,0,[],[],[],[],[],"[0, 0]"
55,Camera ấn tượng trên iPhone 14,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0]"
56,alt :,0,[],[],[],[],[],"[0, 0]"
57,des :,0,[],[],[],[],[],"[0, 0]"
58,"Khi chụp ảnh trong điều kiện đủ ánh sáng thì iPhone 14 cho hình ảnh chân thực , màu sắc sống động , chi tiết , độ tương phản cao và độ nhiễu hạt cực kỳ thấp .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,"Tuy nhiên , vì màu sắc quá chân thực nên nhìn không được nịnh mắt cho lắm , nhưng bù lại thì độ chi tiết cao , chỉ cần qua một ít chỉnh sửa là bạn đã có ngay một bức ảnh đẹp .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"Tương tự , thì ống kính góc rộng không có quá nhiều sự khác biệt so với ống kính chính .",1,['ống_kính_góc_rộng'],['ống_kính_chính'],[''],['không_có_quá_nhiều_sự_khác_biệt'],[2],"[0, 0, 0, 0, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 0, 0, 2, 2, 2, 0]"
61,"Ảnh vẫn cho độ chi tiết cao , khả năng xử lý HDR tốt và màu sắc chân thực , sống động .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,"Trong điều kiện thiếu sáng thì iPhone 14 vẫn cho màu sắc khá tốt , độ chi tiết cao và khả năng cân bằng ánh sáng tốt .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,"Nhìn chung , thì camera của iPhone đã được chứng minh và luôn có chỗ đứng vững chắc trong lòng khách hàng , chỉ có hơn chứ không kém .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,alt :,0,[],[],[],[],[],"[0, 0]"
65,des :,0,[],[],[],[],[],"[0, 0]"
66,4 .,0,[],[],[],[],[],"[0, 0]"
67,Pin khủng dùng cả ngày,0,[],[],[],[],[],"[0, 0, 0, 0, 0]"
68,"iPhone 14 được nhà sản xuất trang bị viên pin Li-Ion 3279 mAh , nếu so với đối thủ thì đây chỉ được xem là dung lượng khá khiêm tốn .",1,['iPhone_14'],['đối_thủ'],['viên_pin'],['dung_lượng_khá_khiêm_tốn'],[7],"[1, 1, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 0]"
69,"Tuy nhiên , đừng vội vàng đánh giá , mặc dù chỉ có 3279 mAh nhưng iPhone 14 vẫn có thể đáp ứng cả một ngày dài làm việc mà không sợ hết dung lượng .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,Mình đã có một bài test với nhiều tác vụ trong vòng 60 phút để xem thử iPhone 14 mất bao nhiêu phần trăm pin .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"Điều kiện test là âm lượng , độ sáng ở mức 50% và chỉ sử dụng Wifi , không bật định vị hay Bluetooth .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"Cuối cùng , thì thu được như sau : Liên Quân Mobile tốn 13% , Facebook 6% , Youtube 8% và Tiktok 8% .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,"Nhìn chung , thì các tác vụ nhẹ nhàng không tốn quá nhiều dung lượng pin như lướt web , check mail , nghe gọi … Thì iPhone 14 dư sức đáp ứng nhu cầu làm việc suốt ngày dài .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,Còn nếu bạn liên tục “ try-hard ” với các tựa game nặng thì iPhone 14 sẽ không đáp ứng nổi .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,alt :,0,[],[],[],[],[],"[0, 0]"
76,des :,0,[],[],[],[],[],"[0, 0]"
77,"Tóm lại , thì iPhone 14 sở hữu những tính năng cao cấp mà người dùng mong muốn nhất như : Hiệu năng mạnh mẽ , thiết kế đẹp , camera chất lượng và pin khủng .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,"Nếu bạn muốn sở hữu chiếc Smartphone siêu khủng này thì hãy liên hệ cửa hàng Mobileworld , sẽ có rất nhiều ưu đãi và quà tặng hấp dẫn dành cho bạn đấy !",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,"Title : Chụp đêm với iPhone 14 Pro Max : Màu sắc chính xác , chất lượng xuất sắc , đẹp "" ngất ngây "" nhưng chỉ với camera chính",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"Trong bài viết trước mình đã có những chia sẻ và đánh giá nhanh về chất lượng camera của iPhone 14 Pro Max trong chuyến du lịch Tây Bắc , trong bài viết này mình tiếp tục đánh giá chi tiết hơn về chất lượng chụp ảnh ban đêm trên mẫu iPhone cao cấp này .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,"Một trong những nâng cấp đáng chú ý nhất trên chiếc iPhone 14 Pro Max chính là camera chính được nâng cấp lên độ phân giải 48MP và kích thước cảm biến 1 / 1.28 "" .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,"Kết hợp khẩu độ lớn f / 1.8 , công nghệ chống rung cảm biến sensor-shift OIS và thuật toán thông minh của Apple , sản phẩm hứa hẹn cho chất lượng ảnh chụp xuất sắc trong mọi điều kiện .",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,alt :,0,[],[],[],[],[],"[0, 0]"
84,des :,0,[],[],[],[],[],"[0, 0]"
85,"Tuy nhiên camera siêu rộng và camera tele hầu như không nhận được nâng cấp nào về phần cứng , chính vì vậy trong điều kiện thiếu sáng bộ đôi camera này lộ rõ nhiều nhược điểm .",1,"['', '']","['', '']","['camera_siêu_rộng', 'camera_tele']","['hầu_như_không_nhận_được_nâng_cấp_nào_về_phần_cứng', 'hầu_như_không_nhận_được_nâng_cấp_nào_về_phần_cứng']","[2, 2]","[0, 0, 3, 3, 3, 0, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,Chi tiết hơn mời các bạn theo dõi bài viết dưới đây .,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,Thông số camera iPhone 14 Pro Max,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0]"
88,Đầu tiên chúng ta hãy cùng điểm qua thông số camera của iPhone 14 Pro Max :,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,"Camera góc rộng ( camera chính ) : 48 MP , f / 1.8 , 24mm , 1 / 1.28 "" , 1.22µm , dual pixel PDAF , sensor-shift OIS",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,"Camera tele : 12 MP , f / 2.8 , 77mm , 1 / 3.5 "" , PDAF , OIS , 3x optical zoom",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,"Camera siêu rộng : 12 MP , f / 2.2 , 13mm , 120 ˚ , 1 / 2.55 "" , 1.4µm , dual pixel PDAF",0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,Cảm biến : TOF 3D LiDAR scanner,0,[],[],[],[],[],"[0, 0, 0, 0, 0, 0, 0]"
93,Từ thông số trên có thể thấy kích thước cảm biến của camera góc rộng hoàn toàn vượt trội so với hai camera còn lại .,1,['camera_góc_rộng'],['hai_camera_còn_lại'],['kích_thước_cảm_biến'],['hoàn_toàn_vượt_trội'],[6],"[0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 1, 1, 1, 4, 4, 4, 4, 0, 0, 2, 2, 2, 2, 0]"
94,"Camera tele có kích thước cảm biến nhỏ nhất , từ đó có thể dự đoán được chất lượng ảnh chụp camera tele của iPhone 14 Pro Max .",1,['Camera_tele'],[''],['kích_thước_cảm_biến'],['nhỏ_nhất'],[4],"[1, 1, 0, 3, 3, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,alt :,0,[],[],[],[],[],"[0, 0]"
96,des :,0,[],[],[],[],[],"[0, 0]"
