Title: iPhone SE (2016) chính là món “hàng hiếm” đáng sở hữu nhất trong năm nay	Title : iPhone SE ( 2016 ) chính là món “ hàng hiếm ” đáng sở hữu nhất trong năm nay
Thiết kế vẫn cực kì hiện đại, tinh tế và nhỏ gọn	Thiết kế vẫn cực kì hiện đại , tinh tế và nhỏ gọn

Nếu như bạn không thích những chiếc điện thoại có màn hình to “khủng bố” từ 6 inch trở lên, muốn mua một mẫu điện thoại giá rẻ, hiệu năng cao nhưng phải nhỏ gọn thì chắc chắn bạn sẽ không thể khước từ được iPhone SE 2016.	Nếu như bạn không thích những chiếc điện thoại có màn hình to “ khủng bố ” từ 6 inch trở lên , muốn mua một mẫu điện thoại giá rẻ , hiệu năng cao nhưng phải nhỏ gọn thì chắc chắn bạn sẽ không thể khước từ được iPhone SE 2016 .

Kích thước 4 inch cổ điển sẽ làm bạn hài lòng nhất có thể.	Kích thước 4 inch cổ điển sẽ làm bạn hài lòng nhất có thể .

alt:	alt :

des:	des :

Nhược điểm	Nhược điểm

Vậy ưu điểm thì cũng quá trời rồi, vậy nhược điểm của iPhone SE 2016 là gì?	Vậy ưu điểm thì cũng quá trời rồi , vậy nhược điểm của iPhone SE 2016 là gì ?

Đó chính là viên pin.	Đó chính là viên pin .

Vì đã ra mắt từ cách đây 4 năm, thế nên pin của iPhone SE 2016 của hiện tại sẽ bị hụt rất nhanh.	Vì đã ra mắt từ cách đây 4 năm , thế nên pin của iPhone SE 2016 của hiện tại sẽ bị hụt rất nhanh .

Chọn iPhone SE 2016 tức là bạn sẽ xác đĩnh trước là phải sống chung với những củ sạc hoặc pin dự phòng.	Chọn iPhone SE 2016 tức là bạn sẽ xác đĩnh trước là phải sống chung với những củ sạc hoặc pin dự phòng .

Và có lẽ, iOS 14 sẽ chính là phiên bản nâng cấp hệ điều hành cuối cùng dành cho iPhone SE 2016, vì nó cũng đã hoàn thành rất tốt sứ mệnh của mình rồi.	Và có lẽ , iOS 14 sẽ chính là phiên bản nâng cấp hệ điều hành cuối cùng dành cho iPhone SE 2016 , vì nó cũng đã hoàn thành rất tốt sứ mệnh của mình rồi .

